,NAME_2018,REDFIN_DATA,APARTMENT_LIST_DATA,cbsatitle,cbsa_state
10100,"Aberdeen, SD Micro Area",,,"Aberdeen, SD",4610100
10140,"Aberdeen, WA Micro Area",,,"Aberdeen, WA",5310140
10180,"Abilene, TX Metro Area","Abilene, TX metro area","Abilene, TX","Abilene, TX",4810180
10220,"Ada, OK Micro Area",,,"Ada, OK",4010220
10260,"Adjuntas, PR Micro Area",,,"Adjuntas, PR",7210260
10300,"Adrian, MI Micro Area",,,"Adrian, MI",2610300
10380,"Aguadilla-Isabela, PR Metro Area",,,"Aguadilla-Isabela, PR",7210380
10420,"Akron, OH Metro Area","Akron, OH metro area","Akron, OH","Akron, OH",3910420
10460,"Alamogordo, NM Micro Area",,,"Alamogordo, NM",3510460
10500,"Albany, GA Metro Area",,,"Albany, GA",1310500
10540,"Albany, OR Metro Area","Albany, OR metro area",,"Albany, OR",4110540
10580,"Albany-Schenectady-Troy, NY Metro Area","Albany, NY metro area","Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",3610580
10620,"Albemarle, NC Micro Area",,,"Albemarle, NC",3710620
10660,"Albert Lea, MN Micro Area",,,"Albert Lea, MN",2710660
10700,"Albertville, AL Micro Area",,,"Albertville, AL",0110700
10740,"Albuquerque, NM Metro Area",,"Albuquerque, NM","Albuquerque, NM",3510740
10760,"Alexander City, AL Micro Area",,,,
10780,"Alexandria, LA Metro Area",,,"Alexandria, LA",2210780
10820,"Alexandria, MN Micro Area",,,"Alexandria, MN",2710820
10860,"Alice, TX Micro Area",,,"Alice, TX",4810860
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area","Allentown, PA metro area","Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",3410900
10940,"Alma, MI Micro Area",,,"Alma, MI",2610940
10980,"Alpena, MI Micro Area",,,"Alpena, MI",2610980
11020,"Altoona, PA Metro Area",,,"Altoona, PA",4211020
11060,"Altus, OK Micro Area",,,"Altus, OK",4011060
11100,"Amarillo, TX Metro Area",,"Amarillo, TX","Amarillo, TX",4811100
11140,"Americus, GA Micro Area",,,"Americus, GA",1311140
11180,"Ames, IA Metro Area",,,"Ames, IA",1911180
11220,"Amsterdam, NY Micro Area",,,"Amsterdam, NY",3611220
11260,"Anchorage, AK Metro Area",,"Anchorage, AK","Anchorage, AK",0211260
11380,"Andrews, TX Micro Area",,,"Andrews, TX",4811380
11420,"Angola, IN Micro Area",,,"Angola, IN",1811420
11460,"Ann Arbor, MI Metro Area","Ann Arbor, MI metro area","Ann Arbor, MI","Ann Arbor, MI",2611460
11500,"Anniston-Oxford-Jacksonville, AL Metro Area","Anniston, AL metro area",,"Anniston-Oxford-Jacksonville, AL",0111500
11540,"Appleton, WI Metro Area","Appleton, WI metro area","Appleton, WI","Appleton, WI",5511540
11580,"Arcadia, FL Micro Area",,,"Arcadia, FL",1211580
11620,"Ardmore, OK Micro Area",,,"Ardmore, OK",4011620
11640,"Arecibo, PR Metro Area",,,"Arecibo, PR",7211640
11660,"Arkadelphia, AR Micro Area",,,"Arkadelphia, AR",0511660
11680,"Arkansas City-Winfield, KS Micro Area",,,"Arkansas City-Winfield, KS",2011680
11700,"Asheville, NC Metro Area","Asheville, NC metro area","Asheville, NC","Asheville, NC",3711700
11740,"Ashland, OH Micro Area",,,"Ashland, OH",3911740
11780,"Ashtabula, OH Micro Area",,,"Ashtabula, OH",3911780
11820,"Astoria, OR Micro Area",,,"Astoria, OR",4111820
11860,"Atchison, KS Micro Area",,,"Atchison, KS",2011860
11900,"Athens, OH Micro Area",,,"Athens, OH",3911900
11940,"Athens, TN Micro Area",,,"Athens, TN",4711940
11980,"Athens, TX Micro Area",,,"Athens, TX",4811980
12020,"Athens-Clarke County, GA Metro Area",,"Athens-Clarke County, GA","Athens-Clarke County, GA",1312020
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area","Atlanta, GA metro area","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA",1312060
12100,"Atlantic City-Hammonton, NJ Metro Area","Atlantic City, NJ metro area","Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ",3412100
12120,"Atmore, AL Micro Area",,,,
